# 00 - All Kanji Vocabulary;;
* Kanji;Kana;Meaning

# 01
仕方;しかた;способ, средство
仕事;しごと;работа, дело, занятие
仕上げる;しあげる;завершить, закончить
時代;じだい;эра, эпоха, период
平安時代;へいあんじだい;эпоха Хэйан (794 - 1185)
世代;せだい;поколение
代理;だいり;представительство, агент
最低;さいてい;минимум
低下;ていか;понижение, падение
低地;ていち;низменность, низина
住所;じゅうしょ;адрес
住民;じゅうみん;население, жители
住宅;じゅうたく;дом, квартира
安住;あんじゅう;спокойная жизнь
身体;しんたい;тело
体育;たいいく;физкультура
作家;さっか;писатель
作品;さくひん;произведение
作り方;つくりかた;способ изготовления
使用;しよう;использование
大使;たいし;посол
天使;てんし;ангел
使い道;つかいみち;применение
便利;べんり;удобство
不便;ふべん;неудобство
便所;べんじょ;туалет
郵便;ゆうびん;почта
借金;しゃっきん;долг
借地;しゃくち;арендованная земля
借り賃;かりちん;арендная плата
働き;はたらき;достижения, заслуги
労働;ろうどう;труд
働き者;はたらきもの;трудолюбивый человек

# 02
親切な;しんせつな;добрый, дружелюбный
親子;おやこ;родители и дети
母親;ははおや;мама, мать
新聞;しんぶん;газета
古新聞;ふるしんぶん;старые газеты
新年;しんねん;Новый Год
新人;しんじん;новичок
古本;ふるほん;старая книга
古文;こぶん;классическая литература, средневековая классика
古語;こご;устаревшее слово
悪化;あっか;ухудшение
最悪;さいあく;наихудший случай, в наихудшем случае
悪人;あくにん;злой, плохой человек
黒白;くろしろ;черно-белый
黒板;こくばん;доска (классная, черная)
赤十字;せきじゅうじ;Красный Крест
赤道;せきどう;Экватор
赤ちゃん;あかちゃん;младенец
青年;せいねん;юношество, молодежь, юноша
青空;あおぞら;голубое небо
青信号;あおしんごう;зеленый светофор
青物;あおもの;зелень, овощи
音楽;おんがく;музыка
文楽;ぶんらく;японский кукольный театр Бунраку
楽天家;らくてんか;оптимист
広告;こうこく;реклама
広大な;こうだいな;обширный, огромный
広場;ひろば;площадь, сквер
近所;きんじょ;окрестности
最近;さいきん;недавно
近代;きんだい;современное время
近道;ちかみち;короткий путь, короткая дорога

# 03
太平洋;たいへいよう;Тихий Океан
皇太子;こうたいし;наследный принц
太古;たいこ;глубокая древность
強弱;きょうじゃく;сила и слабость
弱点;じゃくてん;слабое / больное место
弱気;よわき;малодушие
強力;きょうりょく;сила, мощь
強国;きょうこく;сильное государство
強情;ごうじょう;упрямство, упорство
軽食;けいしょく;легкая пища / блюдо
気軽;きがる;жизнерадостный, веселый
手軽;てがる;легкий, простой
体重;たいじゅう;вес тела
重力;じゅうりょく;гравитация
暗黒;あんこく;тьма, темнота, мрак
暗室;あんしつ;темная комната
暗号;あんごう;шифр, код, пароль
明くる日;あくるひ;другой / следующий день
明日;みょうにち、あした;завтра
寒暑;かんしょ;холод и жара
暑気;しょき;жара
蒸し暑い;むしあつい;душный
長短;ちょうたん;длина, достоинства и недостатки
短気;たんき;вспыльчивость, горячность
短期;たんき;короткий срок
短所;たんしょ;недостаток, слабая сторона
遠方;えんぽう;отдалённость, даль
遠足;えんそく;экскурсия, пикник, поездка
遠回り;とおまわり;объезд, обход, окольная дорога

# 05
林;はやし;роща
山林;さんりん;горные леса, горы и лес
森;もり;лес
森林;しんりん;лес (более официально)
夏;なつ;лето
立夏;りっか;начало лета
夏休み;なつやすみ;летние каникулы
秋;あき;осень
秋風;あきかぜ;осенний ветер
秋気;しゅうき;осенний воздух
冬;ふゆう;зима
冬空;ふゆうぞら;зимнее небо
立冬;りっとう;первый день зимы
春;はる;весна
春分の日;しゅんぶんのひ;день весеннего равноденствия
朝;あさ;утро
朝日;あさひ;восход солнца
朝食;ちょうしょく;завтрак
昼;ひる;полдень, дневное время
昼食;ちゅうしょく;обед
昼休み;ひるやすみ;дневной отдых, обеденный перерыв
夕方;ゆうがた;вечер, сумерки
夕日;ゆうひ;заходящее солнце
夜;よる;вечер, ночь
夜明け;よあけ;рассвет

# 06
家内;かない;жена (своя)
家を建てる;いえをたてる;построить дом
家族;かぞく;семья
親族;しんぞく;родственник
民族;みんぞく;нация, народ
部屋;へや;комната
八百屋;やおや;овощная лавка
屋上;おくじょう;крыша
和室;わしつ;комната в японском стиле
洋室;ようしつ;комната в европейском стиле
室内;しつない;внутри комнаты, помещения
集中;しゅうちゅう;концентрация, фокус
収集;しゅうしゅう;сбор, коллекционирование
特集;とくしゅう;спецальная редакция
大好き;だいすき;очень любить что-либо
好物;こうぶつ;любимое блюдо, пища
義弟;ぎてい;сводный младший брат
弟子;でし;ученик, последователь
姉妹;しまい;сестры
姉妹都市;しまいとし;города-побратимы
義姉;ぎし;сводная старшая сестра
お姉さん;おねえさん;старшая сестра (чужая или обращение к своей)
兄弟;きょうだい;братья, братья и сестры
義兄;ぎけい;сводный старший брат
お兄さん;おにいさん;старший брат (чужой или обращение к своему)

# 07
始める;はじめる;начать, открыть, приняться за что-либо
始まる;はじまる;начаться, открыться, наступить
開始;かいし;открытие, начало, вступление
始終;しじゅう;с начала до конца, все время, постоянно
急ぐ;いそぐ;спешить, торопиться
急行の;きゅうこうの;срочный, скорый
急用;きゅうよう;срочное дело
待つ;まつ;ждать, ожидать
期待;きたい;ожидание
待合室;まちあいしつ;комната ожидания
思う;おもう;думать, верить, предполагать
思い出;おもいで;воспоминания
思い出す;おもいだす;вспомнить
知る;しる;знать, узнавать
お知らせ;おしらせ;сообщение, уведомление
通知;つうち;извещение, уведомление
知人;ちじん;знакомый
知り合い;しりあい;знакомство, знакомый
動く;うごく;двигаться, перемещаться
動かす;うごかす;двигать, перемещать
動物;どうぶつ;животное
自動車;じどうしゃ;автомобиль
切る;きる;резать, рубить, отрезать
切れる;きれる;хорошо резать, быть острым, разорваться, прерваться
大切;たいせつ;важный
一切れ;ひときれ;кусок
洗う;あらう;мыть, смыть, умывать
洗剤;せんざい;моющее средство
お手洗い;おてあらい;туалет, уборная
乗る;のる;ехать в/на чем-либо, сесть во/на что-либо
乗用車;じょうようしゃ;легковой автомобиль
売る;うる;продавать
売店;ばいてん;киоск, лавка, ларек
売り切れ;うりきれ;быть распроданным

# 09
交通;こうつう;транспорт
文通;ぶんつう;переписка, корреспонденция
通学;つうがく;посещать школу, университет
見通し;みとおし;видимость, перспектива, открытый вид
進歩;しんぽ;развитие, прогресс
進行;しんこう;продвижение, движение вперед
起源;きげん;происхождение, начало, источник
起点;きてん;отправной пункт, исходная точка
早起き;はやおき;ранний подъем, ранняя пташка, тот, кто рано встает
回送;かいそう;перевозка, транспортировка
送金;そうきん;денежный перевод
送別会;そうべつかい;прощальная вечеринка
見送る;みおくる;провожать
運転;うんてん;вождение
運転手;うんてんしゅ;водитель
運送;うんそう;перевозка, транспортировка
不運;ふうん;невезение
走路;そうろ;беговая дорожка, трек
走り回る;はしりまわる;обегать что-либо, бегать вокруг чего-либо
公開;こうかい;открытый, публичный
開会;かいかい;открытие собрания, встречи
開発;かいはつ;разработка, освоение
思考;しこう;мысль, размышление
考案;こうあん;идея, концепция
考古学;こうこがく;археология
最終;さいしゅう;самый последний, заключительный
終点;しゅうてん;конечный пункт, конечная станция
終日;しゅうじつ;весь (целый) день
死後;しご;после смерти
死語;しご;мертвый язык

# 10
人物;じんぶつ;человек, индивидуальность, персонаж
生物;せいぶつ;живое существо
見物;けんぶつ;осмотр достопримечательностей
物語;ものがたり;рассказ, повесть, роман
本物;ほんもの;настоящая вещь
日光;にっこう;солнечный свет
月光;げっこう;лунный свет
光年;こうねん;световой год
大海;たいかい;океан
海外;かいがい;заграница
日本海;にほんかい;Японское море
池;いけ;пруд
電池;でんち;батарейка
池田;いけだ;Икэда (японская фамилия)
犬;いぬ;собака
番犬;ばんけん;сторожевая собака
愛犬;あいけん;любимая собака
小犬;こいぬ;маленькая собака, щенок
犬小屋;いぬごや;будка для собаки
牛肉;ぎゅうにく;говядина
野牛;やぎゅう;бизон
子牛;こうし;теленок
白鳥;はくちょう;лебедь
野鳥;やちょう;дикая птица
鳥居;とりい;ворота синтоистского храма "тории"
肉屋;にくや;мясная лавка
豚肉;ぶたにく;свинина
鳥肉;とりにく;мясо птицы
肉親;にくしん;кровное родство
肉筆;にくひつ;автограф, собственная надпись
野生;やせい;дикий, дикорастущий
分野;ぶんや;сфера, область
野菜;やさい;овощи
菜園;さいえん;овощной сад
菜食;さいしょく;вегетарианская пища

# 11
一方;いっぽう;с одной стороны (вводное слово)
四方;しほう;север, юг, запад, восток; все направления
方言;ほうげん;диалект
地区;ちく;участок, район
区間;くかん;участок пути, секция, сегмент
北区;きたく;район Кита (Токио)
町民;ちょうみん;городское население, горожанин
町人;ちょうにん;горожанин (в эпоху Эдо)
下町;したまち;торговая, рабочая часть города
市長;しちょう;мэр
市立;しりつ;городской, муниципальный
市場;いちば・しじょう;рынок
村人;むらびと;житель деревни
村長;そんちょう;глава деревни
市町村;しちょうそん;крупные города, мелкие города и деревни
県立;けんりつ;учрежденный префектурой
県会;けんかい;префектурный совет
愛知県;あいちけん;префектура Айти
東京;とうきょう;Токио
京都;きょうと;Киото
北京;ぺきん;Пекин
旅行;りょこう;путешествие
旅行者;りょこうしゃ;путешественник, турист
旅先;たびさき;место назначения, конечный пункт
場所;ばしょ;место
所長;しょちょう;начальник, руководитель
発電所;はつでんしょ;электростанция
地図;ちず;карта
図表;ずひょう;диаграмма, график, таблица
図書館;としょかん;библиотека

# 13
合意;ごうい;согласие
場合;ばあい、ばわい;случай, дело
間に合う;まにあう;успеть, быть достаточным
体力;たいりょく;физическая сила
水力;すいりょく;гидроэнергия
全力;ぜんりょく;все силы, все усилия
台所;だいどころ;кухня
台風;たいふう;тайфун
天文台;てんもんだい;обсерватория
不足;ふそく;нехватка, недостаток
不十分;ふじゅうぶん;недостаточность, неполнота, несовершенство
人事;じんじ;кадры, персонал
家事;かじ;домашние дела, домашнее хозяйство
火事;かじ;пожар
大事;だいじ;большое, важное дело
元日;がんじつ;Первый день Нового года
元気;げんき;бодрость, жизненная энергия
地元;じもと;местный, локальный
主人;しゅじん;муж
主人公;しゅじんこう;главный герой, персонаж
地主;じぬし;землевладелец
同時に;どうじに;одновременно
同意;どうい;соглашение, согласие
同居;どうきょ;жить в одном доме, жить вместе с
去年;きょねん;прошлый год
過去;かこ;прошлое
立ち去る;たちさる;уйти, покинуть
中世;ちゅうせい;средние века
出世;しゅっせ;успех в жизни, карьера

# 14
医学;いがく;медицина
医学部;いがくぶ;медицинский факультет
医者;いしゃ;врач, доктор
病気;びょうき;болезнь
重病;じゅうびょう;серьезная (тяжелая) болезнь
病人;びょうにん;больной, пациент
病院;びょういん;больница
入院;にゅういん;госпитализация
大学院;だいがくいん;аспирантура
出産;しゅっさん;рождение, роды
生産;せいさん;производство
産物;さんぶつ;продукт, продукция
料理;りょうり;еда, пища, кухня
料金;りょうきん;плата, оплата
有料;ゆうりょう;платно, платный
無料;むりょう;бесплатно, бесплатный
中心;ちゅうしん;центр, середина
本心;ほんしん;истинное намерение, совесть, искренность
首相;しゅしょう;Премьер-министр
手首;てくび;запястье
部首;ぶしゅ;ключ иероглифа
出頭;しゅっとう;явка
口頭;こうとう;устный, вербальный
顔面;がんめん;лицо
顔色;かおいろ;вид, выражение лица
新顔;しんがお;новое лицо, новичок
日本風;にほんふう;японский стиль
風土;ふうど;климат

# 15
地味な;じみな;простой, скромный
三味線;しゃみせん;сямисэн (музыкальный инструмент)
用事;ようじ;дело, занятие
用水;ようすい;питьевая вода
無用の;むようの;ненужный, бесполезный
映写機;えいしゃき;проектор
写生;しゃせい;скетч, набросок
上品な;じょうひんな;изящный, изысканный, элегантный
下品な;げひんな;вульгарный, грубый
品質;ひんしつ;качество
部品;ぶひん;запчасть, деталь
５回;ごかい;5 раз
今回;こんかい;этот раз
前回;ぜんかい;прошлый раз
問題;もんだい;задача, проблема
学問;がくもん;учение, наука
工事（中）;こうじちゅう;ремонт, реконструкция (объявление)
大工;だいく;плотник
工学;こうがく;технические науки
会員;かいいん;член общества
店員;てんいん;продавец
全員;ぜんいん;все
以上;いじょう;более; более, чем; вышеупомянутый
以下;いか;менее; менее, чем; нижеупомянутый
区別;くべつ;различие, разница
別人;べつじん;другой человек
別居;べっきょ;раздельное проживание

# 17
土地;とち;земля, участок, почва
地下;ちか;недра, подземный, подпольный
地下鉄;ちかてつ;метро
地方;ちほう;регион
終止;しゅうし;конец, окончание
休止;きゅうし;приостановка, перерыв
不正;ふせい;несправедливость
正面;しょうめん;передняя часть, фасад
正月;しょうがつ;Новый Год, январь
注意;ちゅうい;внимание, осторожность, замечание
注目;ちゅうもく;внимание
注文;ちゅうもん;заказ
声明;せいめい;декларация, заявление
音声学;おんせいがく;фонетика
大きな声で;おおきなこえで;громким голосом
文字;もじ;знаки, буквы
国字;こくじ;национальное письмо, иероглифы японского происхождения
十字;じゅうじ;крест
引力;いんりょく;притяжение, сила тяжести
引用;いんよう;цитата
引き出し;ひきだし;выдвижной ящик
早々;そうそう;скоро, немедленно, сразу
早めに;はやめに;рано, заранее
手早い;てばやい;быстрый, ловкий
文学;ぶんがく;литература
文明;ぶんめい;цивилизация
国有;こくゆう;государственный
私有;しゆう;частная собственность
有名な;ゆうめいな;известный, знаменитый

# 18
大洋;たいよう;океан
西洋;せいよう;Запад, Европа и Америка
反映;はんえい;отражение
建設;けんせつ;строительство, конструкция
建立（＋する）;こんりゅう（する）;воздвигнуть, построить
建物;たてもの;здание
教室;きょうしつ;аудитория
教会;きょうかい;церковь
教科書;きょうかしょ;учебник
支持;しじ;поддержка, опора
持ち主;もちぬし;хозяин, владелец
気持ち;きもち;настроение, самочувствие
帰国;きこく;возвращение на родину
帰宅;きたく;возвращение домой
日帰り;ひがえり;однодневный (выезд, путешествие и т.д.)
衣服;いふく;одежда
洋服;ようふく;европейская одежда
和服;わふく;японская одежда, кимоно
心服;しんぷく;преданность, уважение, послушание
食堂;しょくどう;столовая
本堂;ほんどう;главный храм
一度;いちど;один раз, однажды
今度;こんど;следующий раз
歩道;ほどう;тротуар
一歩;いっぽ;(один) шаг
歩行者;ほこうしゃ;пешеход

# 19
工場;こうじょう;завод, фабрика
立場;たちば;положение, позиция, точка зрения
勉強;べんきょう;учеба, обучение
勤勉;きんべん;трудолюбие, усердие, старание
工業;こうぎょう;промышленность, индустрия
産業;さんぎょう;производство, промышленность
事業;じぎょう;дело, предприятие, бизнес
意見;いけん;мнение, взгляд, убеждение
意味;いみ;значение, смысл
用意;ようい;подготовка, готовность
世界;せかい;мир, свет
世界史;せかいし;мировая история
学界;がっかい;научный (академический) мир
漢字;かんじ;китайские иероглифы
漢文;かんぶん;китайское письмо, к. литература
漢時代;かんじだい;эпоха династии Хань
水田;すいでん;заливное поле
田中;たなか;Танака (фамилия)
下田;しもだ;Симода (город на полуострове Идзу)
特別な;とくべつな;особый, специальный
特徴;とくちょう;особенность, отличительная черта
独特の;どくとくの;специфический, особый
歌手;かしゅ;певец, певица
国歌;こっか;государственный гимн
短歌;たんか;стихи «танка»
曜日;ようび;день недели
月曜日;げつようび;понедельник
日曜日;にちようび;воскресенье

# 21
真実;しんじつ;правда, факт, действительность
真理;しんり;правда, истина
写真;しゃしん;фотография
記者;きしゃ;журналист
若者;わかもの;молодежь, молодой человек
自由;じゆう;свобода, независимость
自国;じこく;своя страна
自慢;じまん;хвастовство, самодовольство, гордость
自然;しぜん;природа
研磨;けんま;полировка, шлифование
研究;けんきゅう;исследование
究極の;きゅうきょくの;последний, конечный, крайний
到着;とうちゃく;прибытие
着陸;ちゃくりく;приземление, посадка
着物;きもの;кимоно
寒色;さむいろ;холодный цвет
黄色;きいろ;желтый цвет
色刷り;いろずり;цветная печать
色々な;いろいろな;разный, разнообразный
出発;しゅっぱつ;отправление, отъезд
発達;はったつ;развитие, прогресс
自発的;じはつてき;спонтанно, добровольно
英語;えいご;английский язык
英字;えいじ;английский алфавит
動画;どうが;анимация, видео
映画;えいが;фильм, кино

# 22
茶色;ちゃいろ;коричневый
茶室;ちゃしつ;комната для чайной церемонии
茶道;さどう、ちゃどう;чайная церемония
和紙;わし;японская бумага
新聞紙;しんぶんし;газета, газетная бумага
手紙;てがみ;письмо
時計;とけい;часы
会計;かいけい;счёт, расчёт
合計;ごうけい;итог, общее число, сумма
貨物;かもつ;груз, товар, багаж
百貨店;ひゃっかてん;универмаг
外貨;がいか;иностранная валюта
回答;かいとう;ответ, разъяснение
口答;こうとう;устный ответ
学習;がくしゅう;учение, учеба
独習;どくしゅう;самостоятельное изучение
習字;しゅうじ;тренировка письма, каллиграфия
説明;せつめい;объяснение
小説;しょうせつ;рассказ, новелла
演説;えんぜつ;речь, выступление
質問;しつもん;вопрос
性質;せいしつ;характер, качество
本質;ほんしつ;суть, сущность
試合;しあい;состязание, турнир
試食;ししょく;проба пищи, блюда
自転車;じてんしゃ;велосипед
回転;かいてん;вращение, поворот

#;23
発音;はつおん;произношение
母音;ぼいん;гласный звук
足音;あしおと;звук шагов
都会;とかい;город
首都;しゅと;столица
都合;つごう;обстоятельства
実験;じっけん;эксперимент
試験;しけん;экзамен
体験;たいけん;опыт
御飯（ご飯）;ごはん;приготовленный рис, пища, еда
夕飯;ゆうはん;ужин
銀行;ぎんこう;банк
銀色;ぎんいろ;серебрянный цвет
銀メダル;ぎんメダル;серебрянная медаль
話題;わだい;тема разговора
宿題;しゅくだい;домашнее задание
